Cancer Sites,Age Group ,Sex,Race,Deaths
Brain and Other Nervous System,60-64,Male,American Indian or Alaska Native,78
Brain and Other Nervous System,60-64,Male,Asian or Pacific Islander,444
Brain and Other Nervous System,60-64,Male,Black or African American,1448
Brain and Other Nervous System,60-64,Male,White,22035
Brain and Other Nervous System,65-69,Female,American Indian or Alaska Native,57
Brain and Other Nervous System,65-69,Female,Asian or Pacific Islander,369
Brain and Other Nervous System,65-69,Female,Black or African American,1164
Brain and Other Nervous System,65-69,Female,White,17006
Brain and Other Nervous System,65-69,Male,American Indian or Alaska Native,70
Brain and Other Nervous System,65-69,Male,Asian or Pacific Islander,421
Brain and Other Nervous System,65-69,Male,Black or African American,1273
Brain and Other Nervous System,65-69,Male,White,22769
Brain and Other Nervous System,70-74,Female,American Indian or Alaska Native,42
Brain and Other Nervous System,70-74,Female,Asian or Pacific Islander,338
Brain and Other Nervous System,70-74,Female,Black or African American,997
Brain and Other Nervous System,70-74,Female,White,17364
Brain and Other Nervous System,70-74,Male,American Indian or Alaska Native,68
Brain and Other Nervous System,70-74,Male,Asian or Pacific Islander,373
Brain and Other Nervous System,70-74,Male,Black or African American,1114
Brain and Other Nervous System,70-74,Male,White,21646
Brain and Other Nervous System,75-79,Female,American Indian or Alaska Native,61
Brain and Other Nervous System,75-79,Female,Asian or Pacific Islander,260
Brain and Other Nervous System,75-79,Female,Black or African American,867
Brain and Other Nervous System,75-79,Female,White,15996
Brain and Other Nervous System,75-79,Male,American Indian or Alaska Native,55
Brain and Other Nervous System,75-79,Male,Asian or Pacific Islander,324
Brain and Other Nervous System,75-79,Male,Black or African American,789
Brain and Other Nervous System,75-79,Male,White,18375
Brain and Other Nervous System,80-84,Female,American Indian or Alaska Native,28
Brain and Other Nervous System,80-84,Female,Asian or Pacific Islander,259
Brain and Other Nervous System,80-84,Female,Black or African American,709
Brain and Other Nervous System,80-84,Female,White,13029
Brain and Other Nervous System,80-84,Male,American Indian or Alaska Native,29
Brain and Other Nervous System,80-84,Male,Asian or Pacific Islander,253
Brain and Other Nervous System,80-84,Male,Black or African American,555
Brain and Other Nervous System,80-84,Male,White,12966
Brain and Other Nervous System,85+,Female,American Indian or Alaska Native,23
Brain and Other Nervous System,85+,Female,Asian or Pacific Islander,286
Brain and Other Nervous System,85+,Female,Black or African American,819
Brain and Other Nervous System,85+,Female,White,12579
Brain and Other Nervous System,85+,Male,American Indian or Alaska Native,18
Brain and Other Nervous System,85+,Male,Asian or Pacific Islander,246
Brain and Other Nervous System,85+,Male,Black or African American,394
Brain and Other Nervous System,85+,Male,White,9736
Breast,20-24,Female,Black or African American,77
Breast,20-24,Female,White,137
Breast,25-29,Female,American Indian or Alaska Native,18
Breast,25-29,Female,Asian or Pacific Islander,54
Breast,25-29,Female,Black or African American,556
Breast,25-29,Female,White,1142
Breast,30-34,Female,American Indian or Alaska Native,56
Breast,30-34,Female,Asian or Pacific Islander,265
Breast,30-34,Female,Black or African American,1972
Breast,30-34,Female,White,4758
Breast,30-34,Male,White,18
Breast,35-39,Female,American Indian or Alaska Native,109
Breast,35-39,Female,Asian or Pacific Islander,732
Breast,35-39,Female,Black or African American,4392
Breast,35-39,Female,White,12174
Breast,35-39,Male,Black or African American,41
Breast,35-39,Male,White,51
Breast,40-44,Female,American Indian or Alaska Native,178
Breast,40-44,Female,Asian or Pacific Islander,1353
Breast,40-44,Female,Black or African American,7970
Breast,40-44,Female,White,23576
Breast,40-44,Male,Black or African American,41
Breast,40-44,Male,White,102
Breast,45-49,Female,American Indian or Alaska Native,302
Breast,45-49,Female,Asian or Pacific Islander,2084
Breast,45-49,Female,Black or African American,11771
Breast,45-49,Female,White,38494
Breast,45-49,Male,Black or African American,95
Breast,45-49,Male,White,235
Breast,50-54,Female,American Indian or Alaska Native,435
Breast,50-54,Female,Asian or Pacific Islander,2715
Breast,50-54,Female,Black or African American,15341
Breast,50-54,Female,White,57999
Breast,50-54,Male,Black or African American,141
Breast,50-54,Male,White,448
Breast,55-59,Female,American Indian or Alaska Native,500
Breast,55-59,Female,Asian or Pacific Islander,3056
Breast,55-59,Female,Black or African American,17405
Breast,55-59,Female,White,73364
Breast,55-59,Male,Asian or Pacific Islander,16
Breast,55-59,Male,Black or African American,173
Breast,55-59,Male,White,649
Breast,60-64,Female,American Indian or Alaska Native,531
Breast,60-64,Female,Asian or Pacific Islander,2987
Breast,60-64,Female,Black or African American,16122
Breast,60-64,Female,White,83084
Breast,60-64,Male,Black or African American,200
Breast,60-64,Male,White,924
Breast,65-69,Female,American Indian or Alaska Native,495
Breast,65-69,Female,Asian or Pacific Islander,2518
Breast,65-69,Female,Black or African American,14761
Breast,65-69,Female,White,86403
Breast,65-69,Male,Asian or Pacific Islander,17
Breast,65-69,Male,Black or African American,246
Breast,65-69,Male,White,1067
Breast,70-74,Female,American Indian or Alaska Native,443
Breast,70-74,Female,Asian or Pacific Islander,2145
Breast,70-74,Female,Black or African American,12798
Breast,70-74,Female,White,89294
Breast,70-74,Male,Asian or Pacific Islander,20
Breast,70-74,Male,Black or African American,226
Breast,70-74,Male,White,1140
Breast,75-79,Female,American Indian or Alaska Native,381
Breast,75-79,Female,Asian or Pacific Islander,1763
Breast,75-79,Female,Black or African American,11238
Breast,75-79,Female,White,90749
Breast,75-79,Male,Asian or Pacific Islander,22
Breast,75-79,Male,Black or African American,167
Breast,75-79,Male,White,1129
Breast,80-84,Female,American Indian or Alaska Native,292
Breast,80-84,Female,Asian or Pacific Islander,1402
Breast,80-84,Female,Black or African American,9807
Breast,80-84,Female,White,87740
Breast,80-84,Male,Asian or Pacific Islander,19
Breast,80-84,Male,Black or African American,136
Breast,80-84,Male,White,1088
Breast,85+,Female,American Indian or Alaska Native,363
Breast,85+,Female,Asian or Pacific Islander,1990
Breast,85+,Female,Black or African American,13689
Breast,85+,Female,White,137770
Breast,85+,Male,Asian or Pacific Islander,19
Breast,85+,Male,Black or African American,136
Breast,85+,Male,White,1235
Cervix Uteri,20-24,Female,Black or African American,56
Cervix Uteri,20-24,Female,White,168
Cervix Uteri,25-29,Female,American Indian or Alaska Native,17
Cervix Uteri,25-29,Female,Asian or Pacific Islander,35
Cervix Uteri,25-29,Female,Black or African American,269
Cervix Uteri,25-29,Female,White,1012
Cervix Uteri,30-34,Female,American Indian or Alaska Native,57
Cervix Uteri,30-34,Female,Asian or Pacific Islander,98
Cervix Uteri,30-34,Female,Black or African American,648
Cervix Uteri,30-34,Female,White,2519
Cervix Uteri,35-39,Female,American Indian or Alaska Native,63
Cervix Uteri,35-39,Female,Asian or Pacific Islander,195
Cervix Uteri,35-39,Female,Black or African American,1116
Cervix Uteri,35-39,Female,White,4379
Cervix Uteri,40-44,Female,American Indian or Alaska Native,76
Cervix Uteri,40-44,Female,Asian or Pacific Islander,303
Cervix Uteri,40-44,Female,Black or African American,1570
Cervix Uteri,40-44,Female,White,6111
Cervix Uteri,45-49,Female,American Indian or Alaska Native,108
Cervix Uteri,45-49,Female,Asian or Pacific Islander,414
Cervix Uteri,45-49,Female,Black or African American,1894
Cervix Uteri,45-49,Female,White,7674
Cervix Uteri,50-54,Female,American Indian or Alaska Native,109
Cervix Uteri,50-54,Female,Asian or Pacific Islander,496
Cervix Uteri,50-54,Female,Black or African American,2065
Cervix Uteri,50-54,Female,White,8307
Cervix Uteri,55-59,Female,American Indian or Alaska Native,96
Cervix Uteri,55-59,Female,Asian or Pacific Islander,460
Cervix Uteri,55-59,Female,Black or African American,2036
Cervix Uteri,55-59,Female,White,8261
Cervix Uteri,60-64,Female,American Indian or Alaska Native,82
